Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
24,89,76,52,67,73,2,68,62,0,21,1,1,0,1,1,6
20,66,76,58,90,86,3,83,65,3,23,1,1,1,1,10,5
19,79,47,69,86,87,4,80,62,0,6,1,1,0,1,5,4
23,85,99,62,84,74,5,50,78,4,17,1,1,0,1,5,6
23,94,86,80,51,55,8,65,61,1,26,0,1,2,0,8,6
24,91,92,98,95,64,2,62,85,3,22,1,0,0,1,7,5
24,80,64,76,60,62,4,92,84,4,26,0,0,1,2,9,6
18,69,70,83,81,89,7,93,71,1,10,1,1,0,1,10,4
22,75,71,45,53,59,0,64,51,1,12,1,0,1,0,3,8
19,88,51,77,54,73,5,55,51,4,16,0,1,2,0,1,5
23,93,81,67,50,83,1,60,76,2,18,1,0,3,1,7,8
24,55,94,93,78,98,5,58,91,4,11,1,1,1,1,9,6
23,69,49,63,81,99,7,61,79,0,14,0,1,1,1,10,8
23,88,45,80,52,97,2,61,71,2,22,0,1,0,1,10,6
24,71,84,53,64,85,8,73,94,1,21,0,0,0,2,7,8
20,66,56,55,92,87,3,65,59,3,7,0,0,2,2,10,4
24,70,77,62,55,87,1,77,67,1,29,0,1,0,0,7,4
24,80,81,58,60,93,4,67,78,3,19,0,0,3,1,10,5
22,99,59,55,71,97,8,90,64,3,17,0,1,3,1,6,5
24,74,88,42,92,72,0,97,99,4,29,0,0,2,2,5,8
21,60,73,90,62,70,3,70,72,4,8,0,1,3,1,5,6
24,58,92,43,99,73,6,52,52,1,18,0,1,0,2,8,8
23,52,85,93,67,82,3,61,58,4,25,0,0,0,0,9,7
19,77,92,47,69,88,0,55,76,1,15,1,1,2,0,4,8
23,77,41,43,56,93,3,67,77,4,23,1,1,3,1,10,6
22,60,54,73,84,72,8,82,99,4,27,0,1,2,1,1,5
21,84,45,70,62,68,9,75,80,3,11,1,1,2,1,5,4
24,87,66,69,81,99,0,62,83,2,11,0,0,1,2,4,7
20,62,93,74,61,61,5,88,60,4,14,0,1,1,2,4,8
18,67,68,57,69,61,1,56,55,4,15,0,0,2,0,1,4
24,99,90,79,92,85,6,61,80,1,7,1,0,1,2,3,7
19,68,59,70,86,58,0,83,93,3,10,0,1,3,1,3,5
18,88,60,60,57,69,0,59,79,3,26,1,1,2,0,8,9
20,72,93,89,80,64,7,83,72,2,19,0,1,1,1,6,8
22,89,65,83,81,58,0,98,78,2,11,1,0,3,2,6,5
22,88,87,63,54,78,3,91,73,2,28,1,1,0,2,6,7
20,83,54,90,73,68,9,58,57,4,24,0,0,0,1,8,7
23,92,96,95,63,73,9,76,87,1,14,1,1,2,1,5,7
20,96,74,72,73,59,1,71,76,0,24,1,1,0,0,3,4
24,79,85,52,88,88,5,99,69,1,19,0,0,3,2,1,8
19,61,45,94,57,65,5,98,77,3,22,1,1,2,2,8,5
21,69,69,51,56,67,4,56,62,2,13,1,1,1,0,10,7
24,87,94,42,63,62,9,95,71,0,10,1,1,0,0,4,4
24,82,92,59,97,71,7,59,81,3,11,1,0,1,2,3,6
24,58,42,83,87,73,7,65,61,2,7,0,0,3,0,8,8
18,52,58,95,50,76,2,67,87,0,16,1,1,2,2,10,4
18,84,66,78,70,98,4,64,76,1,15,1,0,0,2,7,8
22,62,50,97,62,95,4,92,93,3,5,0,0,3,0,8,6
24,74,83,45,81,80,2,66,92,4,26,1,1,0,0,2,5
23,87,51,43,72,51,0,90,74,0,22,1,0,0,0,8,4
22,78,60,76,98,80,1,99,59,0,16,1,1,2,2,4,6
19,54,79,97,60,54,1,92,86,1,29,0,0,2,0,2,5
20,59,68,70,79,85,2,67,70,1,28,0,1,0,2,4,8
18,60,84,43,85,69,2,85,79,3,7,1,0,0,1,8,5
24,62,97,53,91,91,2,76,55,4,20,0,0,0,0,6,6
19,78,46,54,70,97,4,89,81,2,25,0,1,0,2,3,6
22,75,82,60,84,70,5,57,68,0,9,1,1,1,2,7,5
22,60,53,42,65,73,3,81,66,0,8,1,0,0,2,6,8
18,53,64,94,71,79,9,88,99,3,11,0,1,1,0,5,4
22,58,41,70,94,59,5,88,71,2,12,1,1,0,0,6,8
23,99,48,80,97,96,7,98,83,2,29,0,1,1,1,3,5
22,73,59,44,85,71,9,52,81,2,24,0,1,0,0,5,4
21,93,60,43,68,58,1,67,55,3,6,0,1,0,1,3,8
20,92,93,75,91,88,4,73,87,0,24,1,0,1,1,2,7
22,75,84,93,51,60,4,65,66,1,9,0,0,0,1,2,7
21,85,98,71,55,57,3,65,89,0,13,1,0,0,1,2,5
19,59,75,92,83,78,0,58,80,1,13,1,1,0,0,10,4
22,84,54,88,64,83,8,90,65,1,11,0,0,2,1,4,7
23,63,59,44,97,78,1,95,67,3,12,1,1,0,0,2,6
19,91,59,52,71,82,9,54,86,2,23,1,0,0,0,4,5
24,54,59,79,71,55,7,57,77,3,11,0,1,3,0,9,5
22,88,80,66,83,73,5,61,83,1,25,0,0,2,0,3,8
18,55,71,57,88,67,1,75,57,0,7,1,0,1,0,5,8
21,94,63,65,73,98,5,89,89,1,19,1,0,2,2,2,5
21,65,48,66,60,52,2,53,66,3,26,0,1,0,0,7,8
18,82,41,94,88,64,2,81,80,0,7,0,1,0,0,10,5
20,74,53,46,66,97,8,57,55,2,20,1,0,3,1,5,8
24,68,46,56,58,99,3,98,66,3,17,1,1,0,1,7,4
23,82,87,72,81,91,4,94,82,4,13,0,0,0,1,3,7
21,97,46,81,54,53,8,97,63,1,7,0,0,0,1,6,6
19,52,83,77,98,78,0,55,94,2,21,0,0,3,1,3,4
23,95,63,96,81,70,5,74,83,2,12,1,0,0,1,1,7
21,80,44,87,99,90,5,58,93,0,13,1,0,3,0,8,5
24,90,88,73,66,52,4,80,69,3,22,1,0,0,0,9,5
20,69,74,52,98,59,8,61,51,1,28,1,1,2,1,5,6
24,73,54,67,57,74,9,88,78,4,13,1,1,0,2,1,8
19,93,93,81,52,57,4,82,66,1,23,1,0,1,2,2,8
24,70,42,90,51,84,4,78,72,3,28,0,1,1,0,8,8
23,76,52,97,73,91,5,91,84,2,7,0,1,0,0,7,8
19,51,85,76,54,85,7,75,85,4,18,1,0,1,2,4,6
18,57,82,71,75,72,6,63,51,0,5,1,0,3,2,3,5
22,82,57,41,66,93,2,81,88,3,25,0,0,1,1,4,8
18,85,43,44,66,56,0,97,74,1,12,0,1,0,2,5,4
23,79,91,49,81,63,9,80,77,3,13,0,0,2,1,4,9
22,57,58,43,58,74,2,81,64,0,22,1,1,0,0,9,6
18,72,51,64,88,53,6,96,71,1,24,1,0,0,0,1,6
22,67,70,60,79,54,8,75,85,4,15,1,1,0,1,1,5
21,74,94,78,95,69,3,99,88,1,21,0,0,1,0,10,4
24,93,42,72,68,97,6,57,69,1,28,0,1,1,0,7,7
19,88,85,75,99,95,1,76,84,0,27,0,1,0,1,3,5
22,54,74,68,78,73,9,60,62,1,22,1,1,3,2,4,5
21,94,65,56,98,57,0,72,91,3,28,0,1,3,0,1,4
24,73,84,97,51,58,4,58,80,2,26,1,1,0,2,2,6
24,87,97,45,86,68,5,61,88,0,23,1,0,1,2,5,6
20,57,53,96,90,60,7,60,73,0,27,1,1,3,0,4,6
18,83,48,58,52,54,1,66,61,0,25,0,0,3,2,3,4
20,61,94,70,78,83,4,56,71,3,17,1,1,2,0,2,6
23,71,80,46,90,79,3,90,69,3,17,1,0,3,0,1,5
21,50,66,44,78,64,3,61,66,3,5,1,1,1,1,1,4
20,57,74,65,53,88,7,70,60,3,5,1,1,2,0,1,6
20,54,84,84,84,88,0,50,87,1,23,0,0,2,1,7,7
24,61,86,56,53,74,7,55,54,0,18,1,1,1,1,1,6
21,55,95,73,90,54,8,94,94,0,24,1,1,0,1,2,7
24,84,65,56,52,95,9,91,58,4,28,1,1,0,1,2,7
19,51,57,63,56,83,6,92,98,2,16,0,0,3,1,8,4
22,80,78,94,63,62,3,70,99,1,7,0,1,0,2,5,5
23,57,64,91,81,80,4,57,69,2,20,1,0,0,1,4,4
23,97,75,70,98,70,9,55,99,1,7,0,1,1,1,3,8
18,96,65,54,55,81,8,80,93,1,20,1,1,3,2,8,5
24,61,49,51,57,73,4,91,54,1,18,0,1,0,1,10,8
22,80,68,97,68,74,9,95,97,0,22,0,1,0,2,6,7
18,51,81,52,91,86,8,64,52,2,13,0,1,1,2,7,7
23,96,87,88,73,80,9,66,59,2,8,1,1,2,1,5,6
22,76,69,62,66,54,6,55,79,3,10,0,0,2,0,5,6
20,52,49,99,78,53,8,88,54,2,22,0,0,2,0,10,4
19,67,64,62,63,65,8,63,58,3,17,1,0,1,1,8,4
20,53,87,61,70,71,0,74,97,4,18,1,1,0,0,1,5
19,69,64,78,66,63,9,96,99,3,13,0,0,1,1,3,8
24,83,81,97,90,82,3,87,89,1,25,0,1,2,1,7,6
21,73,70,98,96,59,4,52,75,0,30,0,0,1,2,3,7
18,69,54,82,87,85,7,50,95,1,12,0,0,3,1,9,8
18,55,87,85,71,88,6,89,55,4,23,0,0,0,1,2,6
21,62,45,73,75,56,8,77,97,0,9,1,1,3,0,1,5
22,55,71,85,56,82,4,86,67,4,23,0,1,2,2,7,8
21,90,52,91,87,98,3,57,93,1,15,1,1,0,2,9,5
24,56,44,69,79,59,0,93,83,0,20,0,1,3,0,4,4
23,79,70,77,95,95,4,88,98,4,10,0,0,1,1,9,4
21,67,69,72,60,80,7,94,93,3,26,0,0,0,2,3,6
19,61,82,73,87,79,3,67,94,2,9,1,1,1,2,8,8
23,81,84,93,84,52,4,63,81,1,28,1,0,2,0,9,6
21,72,83,61,63,87,2,57,91,3,6,0,1,0,2,5,6
18,70,64,52,83,73,7,96,87,4,12,0,1,0,1,5,6
20,79,77,67,96,86,0,58,58,4,19,1,0,0,0,5,7
19,74,74,52,95,90,7,55,82,0,26,1,1,0,1,9,7
24,65,65,69,85,76,3,59,57,3,19,1,0,3,2,9,5
19,77,75,94,52,63,0,88,93,4,10,0,1,3,0,3,5
22,83,96,77,93,57,8,94,53,0,26,1,1,3,1,4,4
20,51,51,91,82,58,4,90,99,2,19,0,1,3,2,6,7
19,73,94,49,65,93,5,78,70,2,10,1,1,3,1,8,7
21,52,43,94,59,56,7,99,58,0,19,1,1,0,1,2,6
19,59,58,76,55,69,6,53,96,3,21,1,1,0,0,4,5
19,78,57,41,52,66,7,93,52,0,22,0,0,3,1,5,5
19,93,77,77,87,93,7,71,73,0,23,1,0,3,2,6,7
22,94,47,97,61,73,5,72,88,3,27,0,1,0,2,1,5
19,53,92,44,51,99,3,56,65,2,25,0,0,0,2,6,7
19,70,89,74,69,86,2,51,76,4,20,0,1,3,2,10,8
22,79,79,94,74,92,9,65,85,2,5,0,1,0,1,7,5
23,57,67,40,58,54,9,58,97,3,23,1,1,3,2,9,4
20,88,95,77,52,62,3,74,55,1,29,1,0,0,0,8,8
24,87,89,68,59,56,1,57,57,3,12,1,0,2,1,3,5
23,95,69,60,83,73,2,56,75,2,20,1,1,3,0,5,8
18,50,82,77,54,85,6,93,70,2,24,0,1,3,2,1,8
22,60,74,43,77,58,1,96,70,3,21,0,0,1,0,9,6
22,91,75,85,57,56,7,98,64,3,28,0,0,1,2,10,7
19,83,59,40,59,80,9,84,78,3,16,0,0,0,1,7,5
19,94,67,58,69,61,9,88,94,2,18,0,0,1,0,3,4
24,52,44,70,55,73,0,91,58,0,6,0,1,0,1,6,6
18,79,61,62,58,52,9,82,60,1,27,0,0,3,2,10,6
19,78,81,58,67,84,7,66,83,0,11,1,0,3,1,1,8
21,51,97,89,66,77,0,57,52,2,29,0,1,2,0,3,7
19,75,97,96,87,82,4,61,83,0,10,1,1,2,0,1,7
19,80,73,92,53,63,7,92,65,3,11,0,0,1,0,7,4
21,59,76,71,93,63,9,84,67,4,17,0,1,3,2,3,7
18,63,51,93,90,90,1,72,70,3,21,0,1,0,0,5,4
21,82,81,95,88,85,1,51,67,1,16,0,1,1,0,5,7
22,73,44,64,65,78,4,63,92,3,13,1,0,2,0,9,8
21,92,57,57,91,81,9,86,97,4,18,1,1,0,1,1,6
20,67,80,45,59,54,9,75,77,2,29,1,1,0,2,3,5
22,63,58,68,56,92,2,71,79,0,29,0,1,0,2,4,6
19,99,42,96,52,88,3,65,53,3,13,1,1,1,2,4,8
24,95,89,73,96,79,9,80,85,0,22,1,0,1,2,8,7
22,51,58,80,65,95,7,98,79,1,23,0,0,0,0,8,7
18,88,43,46,95,58,9,95,52,0,21,1,0,1,2,4,7
18,55,44,48,63,84,8,51,59,1,7,0,0,1,2,10,8
21,51,55,67,95,98,2,74,60,1,18,1,0,3,0,9,4
22,63,50,97,95,65,7,66,58,3,24,1,0,0,0,9,8
19,63,86,61,96,50,0,75,82,4,10,0,1,2,0,3,8
18,90,59,92,74,86,8,80,96,0,13,1,0,3,0,9,6
23,85,88,47,93,50,6,60,88,1,10,0,0,1,1,8,6
19,99,50,77,97,93,9,89,73,1,27,1,1,2,2,4,8
23,85,69,76,66,52,9,73,70,1,26,1,0,1,0,10,8
20,70,81,91,70,82,0,99,69,2,9,0,1,0,2,5,8
23,84,79,40,85,68,1,51,80,0,24,1,1,1,1,2,7
18,99,76,51,65,60,4,59,67,0,14,0,0,0,0,7,4
21,85,95,53,87,94,8,84,61,1,22,0,0,0,1,2,4
20,88,53,97,53,87,8,84,80,0,17,1,1,0,2,1,8
22,96,69,49,76,67,9,79,69,0,16,0,1,0,1,10,7
19,55,93,42,56,64,6,98,50,2,27,1,1,2,2,5,5
18,85,44,72,64,86,2,70,51,1,20,1,1,0,2,8,4
20,92,43,71,62,91,0,70,63,0,10,0,1,1,2,4,5
20,97,54,90,91,85,2,95,75,4,7,0,1,3,2,1,4
18,60,77,96,59,82,6,76,67,1,28,0,1,1,2,4,8
22,75,55,72,90,61,9,67,51,0,8,1,0,1,0,9,8
22,84,51,95,89,92,3,85,61,2,23,1,1,1,0,8,8
21,62,67,83,74,87,8,80,54,4,17,0,0,1,1,9,4
24,80,76,55,61,75,3,65,97,3,8,1,0,3,1,7,4
23,62,54,95,61,75,3,64,65,3,24,0,0,0,0,6,4
22,66,58,80,73,78,5,69,50,4,27,0,1,0,2,6,5
21,72,76,64,50,91,4,53,83,3,8,1,0,2,2,1,4
23,76,96,80,76,87,9,97,61,4,6,1,1,3,0,3,8
20,72,80,64,97,92,4,59,78,0,26,0,1,3,2,2,8
18,74,86,46,57,75,2,59,57,3,17,1,0,3,1,7,4
22,64,62,83,78,81,8,82,99,3,21,1,1,2,2,10,4
21,57,56,89,98,92,9,86,98,4,16,1,0,1,2,6,5
20,52,67,83,93,61,6,86,82,0,15,0,1,2,1,3,7
22,59,88,53,92,72,2,68,85,0,12,0,0,3,1,4,7
19,79,67,97,91,81,2,93,71,1,19,0,0,1,0,1,7
24,89,90,41,65,95,0,77,98,1,9,1,0,3,2,4,8
20,58,99,59,94,50,0,71,71,0,22,1,1,0,1,2,4
22,55,44,55,97,60,9,90,61,4,18,0,1,0,1,5,4
20,87,42,42,74,61,0,62,55,2,26,1,1,0,1,9,4
18,65,48,64,67,66,4,93,60,2,28,1,1,3,1,9,4
18,97,63,77,70,64,6,76,78,1,27,0,0,1,1,1,7
24,85,47,92,66,79,8,95,62,3,20,1,0,0,1,6,5
18,66,92,99,60,94,1,60,82,2,13,1,0,0,0,2,6
23,64,41,88,80,81,4,96,69,3,13,1,0,1,2,1,7
19,76,58,68,78,62,2,84,94,3,21,0,0,1,2,9,7
18,53,51,83,73,93,2,80,77,0,22,0,1,0,2,2,5
19,55,95,90,54,81,3,71,81,2,9,0,1,0,2,6,6
18,58,80,67,89,60,5,97,77,2,29,1,1,0,2,6,5
23,88,94,87,58,68,0,72,94,3,7,1,0,0,2,3,8
20,75,98,68,55,89,4,74,53,3,20,1,1,2,2,6,6
22,50,69,63,81,86,1,89,53,0,18,1,0,0,0,4,4
22,83,54,71,69,78,9,64,85,4,19,1,0,3,1,8,7
18,71,51,80,52,57,5,64,88,2,18,1,0,2,1,4,5
22,75,53,83,67,90,8,88,71,2,6,1,0,1,1,7,5
18,60,82,61,88,65,1,56,67,0,29,1,1,0,0,10,5
18,77,42,74,80,88,8,91,63,0,29,1,0,0,1,2,4
24,98,43,94,68,82,4,81,61,4,18,1,1,2,0,6,8
21,53,76,98,59,63,1,76,95,3,10,1,1,0,0,10,6
21,64,78,53,81,60,7,61,64,2,9,1,0,3,0,5,4
24,62,79,51,94,56,7,89,82,3,6,1,0,0,0,1,6
21,62,62,80,82,62,9,90,89,2,20,0,1,0,1,5,6
19,68,88,64,90,57,7,74,51,0,17,0,0,0,2,6,5
21,90,72,41,76,80,1,69,51,0,15,0,0,1,1,2,6
18,95,46,60,85,79,3,62,66,0,18,0,0,1,0,7,7
23,60,87,88,94,79,4,87,84,4,26,1,1,0,0,1,5
23,77,97,87,88,82,1,81,63,2,6,0,1,1,0,1,6
20,81,43,69,95,90,7,60,50,0,18,0,0,0,1,1,8
21,76,63,68,71,95,5,89,64,4,22,0,1,0,2,2,5
23,71,69,74,95,61,9,94,54,3,29,1,1,2,1,1,6
21,59,48,53,81,79,5,52,60,4,23,0,1,0,0,7,8
20,74,92,71,93,53,5,88,66,4,18,1,0,2,2,5,8
23,70,57,40,51,56,0,92,56,1,24,0,1,0,0,7,7
18,89,86,68,82,82,1,99,85,3,29,1,1,0,2,5,7
19,88,80,60,92,74,8,61,62,1,27,0,1,2,2,8,6
24,56,75,80,58,87,9,68,83,2,7,1,1,0,0,10,8
24,54,51,78,83,71,4,98,79,4,19,0,1,2,1,8,4
24,95,53,62,91,56,8,54,94,4,24,1,1,0,1,9,7
21,76,42,40,64,93,6,76,54,4,21,0,0,0,2,3,4
23,92,54,55,70,54,9,75,60,4,15,0,1,2,0,2,4
23,52,60,78,78,59,2,80,93,1,13,0,1,0,0,7,7
20,76,89,44,75,63,5,66,91,2,20,1,0,3,0,7,7
18,76,61,46,51,99,4,96,59,1,15,1,1,1,1,3,4
22,93,85,78,54,70,5,63,55,4,14,1,0,3,2,2,5
23,54,66,85,55,75,2,82,92,2,25,1,0,0,0,10,4
19,62,87,59,63,88,4,74,58,3,12,0,1,1,1,2,8
20,70,98,69,62,81,6,63,93,1,21,1,0,2,1,3,6
23,93,54,96,87,92,0,59,98,0,26,0,0,3,1,8,6
23,96,91,96,78,74,7,97,61,3,20,1,1,0,0,8,8
20,99,77,58,88,98,7,78,92,3,17,0,1,0,2,1,7
20,97,89,88,53,89,8,80,71,4,5,1,1,0,0,9,8
21,50,79,75,74,70,4,89,89,4,22,1,0,0,1,5,8
23,52,65,98,66,69,0,54,70,3,29,1,0,3,1,5,5
22,57,53,68,92,96,4,85,53,1,25,0,0,0,2,2,7
19,67,44,86,85,84,1,58,85,2,20,0,0,3,1,5,6
18,91,72,86,93,81,6,87,57,1,16,0,0,0,1,6,7
18,94,99,69,52,87,0,57,96,1,10,0,0,1,1,7,7
22,59,84,87,86,78,3,91,70,3,22,1,0,2,2,1,4
20,80,59,55,77,57,0,84,54,1,9,0,0,0,1,3,8
20,95,89,47,91,65,0,69,61,2,27,0,0,0,0,4,4
20,73,86,65,75,77,9,67,93,3,13,1,1,3,1,7,6
23,55,56,96,77,50,9,57,66,1,15,1,0,3,1,8,5
20,72,40,70,52,71,5,95,92,4,10,0,1,0,1,5,6
20,68,47,78,83,87,2,55,58,1,17,0,1,0,1,7,8
23,78,92,77,63,58,9,73,73,3,22,1,1,0,0,2,6
23,71,90,47,50,53,9,61,93,3,12,1,1,1,0,8,7
22,50,57,63,53,91,8,99,52,4,22,0,0,2,0,2,4
21,99,57,82,97,80,5,79,65,3,20,0,0,0,0,3,6
23,77,87,98,67,58,0,57,95,0,14,0,1,0,0,3,8
19,73,96,50,93,90,0,83,79,3,12,1,1,0,2,6,8
20,97,86,64,97,82,8,99,85,1,26,1,0,3,0,10,6
21,57,76,45,97,66,8,80,92,2,5,0,0,2,2,6,7
18,59,54,54,94,68,4,72,76,1,22,1,1,2,0,1,4
22,90,71,62,94,57,3,64,92,3,15,1,0,0,2,10,6
21,63,54,72,64,91,6,54,81,0,22,0,1,3,1,2,7
23,89,88,53,57,75,8,61,84,1,17,1,0,3,0,5,5
20,63,63,53,81,77,7,77,57,2,7,1,0,1,2,9,8
20,51,90,86,74,94,6,87,96,1,29,0,1,0,1,6,7
20,75,62,97,54,50,2,93,89,4,7,0,1,3,0,6,7
21,59,89,59,83,53,2,89,62,0,9,0,0,0,2,1,4
20,87,60,81,78,58,7,56,79,3,15,1,1,0,1,8,4
23,82,66,55,93,51,8,88,68,1,28,1,0,0,2,9,7
21,96,76,95,80,82,1,79,83,1,12,1,0,0,0,5,6
20,89,44,80,78,81,1,73,99,1,19,0,0,0,1,10,6
18,59,96,88,72,60,6,78,52,1,18,0,0,2,1,3,4
18,90,74,42,73,57,3,50,97,2,13,1,1,3,1,10,6
19,82,70,75,97,57,5,53,53,4,22,1,0,0,0,5,7
20,83,90,71,56,97,6,76,73,4,17,0,1,1,1,5,7
20,91,91,57,72,84,7,58,74,0,19,0,1,0,2,1,6
21,78,71,55,82,79,8,77,63,0,10,0,1,0,0,9,7
21,73,95,74,71,66,2,67,78,2,28,0,0,1,1,10,8
24,81,43,82,64,71,5,95,91,4,7,1,0,0,0,2,8
20,64,46,41,64,54,1,97,64,0,22,0,1,1,0,5,6
19,59,75,74,61,99,8,98,53,3,27,1,1,0,1,1,5
20,80,61,50,67,87,8,94,81,4,7,1,1,0,1,7,5
23,61,67,48,93,81,3,99,87,1,5,0,1,0,1,7,6
21,54,59,77,75,79,1,85,97,4,13,1,1,3,2,5,4
20,50,64,58,62,75,0,98,57,3,24,0,1,1,1,10,7
21,80,89,66,69,62,5,82,95,1,22,0,1,2,2,10,6
20,68,75,61,55,61,0,90,74,4,25,0,1,2,1,2,7
22,87,99,78,95,77,6,56,61,1,14,1,0,0,0,8,5
21,68,87,68,70,53,6,84,98,1,29,0,0,1,0,3,4
19,74,56,97,99,53,6,96,61,2,14,1,0,1,1,5,8
22,70,55,61,67,78,8,77,86,3,25,1,0,0,1,6,4
23,82,60,84,91,95,3,59,89,2,13,0,0,2,1,6,8
20,67,90,55,62,95,9,76,71,4,10,1,0,3,0,8,6
24,98,41,70,53,50,0,85,84,1,13,0,0,2,0,1,4
23,96,53,73,51,55,1,88,78,4,9,0,0,0,0,5,4
21,92,94,59,80,79,4,76,59,4,8,1,0,2,1,7,6
22,96,78,68,65,92,5,60,87,2,14,1,1,0,1,5,4
23,72,53,56,72,97,0,96,96,4,8,1,0,0,0,8,8
19,76,53,40,90,93,5,88,74,3,17,0,1,3,2,2,8
24,87,91,52,62,83,3,63,99,1,5,0,1,3,1,5,6
21,84,93,82,65,60,8,90,71,0,15,0,0,2,1,4,8
22,94,55,86,92,53,5,67,73,3,29,1,1,0,2,3,5
23,85,65,56,74,52,5,65,83,0,14,0,0,2,0,2,8
22,99,90,64,91,80,9,93,59,0,8,1,1,3,1,8,8
22,67,86,42,68,51,7,93,95,2,12,1,0,0,2,4,6
23,91,88,54,69,86,4,69,90,0,24,0,0,0,2,10,5
18,84,71,86,58,85,4,50,93,1,12,0,0,0,0,10,6
20,84,94,76,95,53,6,59,80,2,14,0,0,2,2,4,8
21,66,59,52,94,95,2,95,94,3,24,1,1,0,0,4,4
21,89,49,55,99,76,0,94,84,3,11,1,0,0,2,9,5
24,95,82,89,70,95,3,72,75,3,17,0,0,2,1,7,7
24,60,72,52,90,95,7,65,96,4,6,1,1,1,0,10,7
24,81,91,60,70,59,2,65,71,2,9,1,1,2,0,3,4
21,69,44,79,72,69,1,94,75,2,10,0,0,0,2,5,8
22,99,90,73,91,56,2,66,58,2,16,0,0,1,1,4,8
24,73,57,67,58,88,6,75,97,1,25,1,0,0,2,1,4
23,61,79,93,61,75,6,86,61,2,13,0,0,0,2,4,8
20,69,42,53,65,96,6,60,60,1,14,1,1,0,2,7,5
19,82,76,84,89,60,3,62,55,3,12,0,0,0,1,5,5
21,53,83,49,68,84,9,67,72,4,13,0,0,2,1,6,4
23,80,62,76,67,99,4,82,63,0,15,0,0,3,2,6,6
20,96,52,92,99,83,5,90,87,4,27,0,0,0,0,7,8
20,92,72,67,69,53,9,77,65,4,5,1,1,2,0,1,4
18,53,89,83,62,79,9,56,86,4,20,0,1,0,0,6,6
23,99,59,89,81,58,6,72,59,0,27,0,0,2,0,9,5
21,84,55,48,90,51,9,56,61,1,15,1,0,1,2,10,4
24,58,56,82,53,66,5,54,90,3,21,0,0,3,2,5,8
22,50,96,95,80,63,3,79,68,0,19,1,1,1,1,7,7
24,58,61,74,51,89,3,97,55,3,13,1,0,1,0,3,7
20,91,40,51,76,68,5,91,98,1,8,0,0,2,2,4,7
20,51,86,47,62,86,6,88,58,3,10,1,1,0,0,4,4
19,61,81,55,65,50,4,86,57,1,6,1,1,0,0,6,5
24,87,47,46,73,50,8,94,67,0,24,0,0,0,2,3,5
18,79,99,70,96,51,4,87,54,0,18,0,1,0,2,3,9
20,89,76,44,85,60,2,81,57,3,24,1,0,3,2,10,7
20,87,70,53,96,68,0,68,92,3,12,1,1,1,0,5,6
22,52,62,66,83,80,9,55,58,4,25,1,0,0,1,2,6
22,94,93,68,50,99,8,73,55,4,12,0,1,3,0,1,8
19,61,54,73,63,67,6,96,94,3,8,1,1,2,2,2,5
23,77,57,82,95,52,8,79,72,4,18,0,0,3,0,9,5
19,82,47,42,82,59,8,59,57,3,28,0,1,3,1,3,5
19,58,85,44,99,94,9,82,79,2,15,1,1,2,2,3,8
22,98,75,43,57,84,3,73,52,4,17,0,1,0,2,1,7
24,74,76,65,64,89,5,96,71,3,16,1,0,1,0,2,7
24,52,53,42,68,56,0,58,79,2,16,1,1,3,2,6,5
24,96,79,84,66,56,9,85,97,4,10,0,0,2,1,2,5
23,79,85,53,62,55,9,84,66,0,15,1,1,2,2,10,5
22,84,61,96,72,92,7,99,88,3,17,0,0,0,0,10,8
18,76,88,69,82,60,4,78,56,0,23,0,1,3,2,8,8
21,91,60,66,65,82,4,93,71,4,8,1,1,2,0,6,6
21,51,85,86,53,75,4,51,61,2,19,1,0,0,2,2,5
18,63,42,82,85,77,2,56,74,3,21,0,1,0,2,10,8
24,73,73,76,72,59,5,67,70,2,14,0,0,2,0,6,6
21,53,98,96,77,81,0,80,98,0,18,1,0,2,1,2,4
23,85,98,65,72,52,9,72,95,3,22,0,0,3,0,1,5
22,69,56,88,94,99,4,60,79,0,16,0,1,3,1,5,7
21,63,66,62,77,51,9,79,58,0,13,0,0,1,0,5,8
23,50,43,90,96,52,7,78,77,2,25,1,0,2,2,8,6
22,85,92,55,75,66,2,76,89,4,29,0,0,0,1,4,5
23,91,74,57,64,91,2,54,51,0,10,1,1,0,0,2,5
18,69,63,80,67,62,9,96,71,0,27,1,1,1,0,7,4
19,78,46,52,76,73,7,79,52,1,18,1,1,2,0,3,8
18,61,96,53,76,50,2,63,62,2,16,0,0,0,0,3,4
21,81,71,58,84,53,0,84,54,0,27,0,0,0,1,8,4
22,50,56,80,61,80,6,65,98,1,27,0,1,3,1,3,7
23,74,61,93,82,59,3,75,58,2,11,1,1,0,1,2,4
21,82,56,80,88,84,2,67,57,3,14,0,1,2,1,10,5
21,95,76,89,83,89,7,94,98,4,26,1,0,0,0,9,6
19,69,95,72,74,92,6,99,75,2,17,0,1,1,1,8,8
24,88,91,44,99,56,4,58,87,0,12,0,1,3,1,2,5
21,79,67,46,70,72,9,51,66,1,29,1,1,1,2,8,8
19,96,89,73,55,97,6,60,76,1,10,0,1,0,2,5,6
22,69,65,59,91,88,8,79,50,3,20,1,0,0,1,10,8
