Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,2,1,52,0,0,156,13,47,2
0,3,1,44,0,0,425,8,47,2
1,3,0,24,0,0,419,7,47,1
0,1,1,49,1,1,83,110,75,0
0,3,1,42,0,0,346,7,139,2
1,1,0,18,1,0,610,227,73,0
1,1,1,35,0,0,579,26,120,2
0,3,0,18,0,1,211,14,47,0
0,3,1,25,0,0,449,7,47,1
0,3,1,26,1,0,398,7,47,2
0,2,1,39,0,0,170,26,47,2
1,2,0,45,0,0,108,13,47,2
1,1,1,42,0,0,580,26,120,2
1,1,0,22,0,0,37,151,47,2
1,3,1,24,1,1,189,15,47,0
1,1,0,24,0,0,582,49,84,0
0,1,1,24,0,0,19,26,56,2
1,1,1,48,1,0,99,52,58,2
0,3,1,29,0,0,506,9,47,2
0,2,1,52,0,0,164,13,47,2
0,3,1,19,0,0,348,7,140,2
1,1,0,38,0,0,610,227,66,0
1,2,0,27,0,0,293,10,116,2
0,3,1,24,0,0,440,15,47,1
0,3,1,33,0,0,319,7,47,2
1,2,0,6,0,1,155,33,47,2
0,3,1,17,1,0,408,7,47,2
0,2,1,34,0,0,65,13,47,2
0,2,1,50,0,0,161,13,47,2
1,1,1,27,1,0,51,53,137,2
0,3,1,20,0,0,266,8,47,2
1,2,0,30,3,0,252,21,47,2
1,3,0,24,0,0,451,7,47,1
0,2,1,25,1,0,127,26,47,2
0,3,0,25,1,0,667,7,47,2
1,1,0,29,0,0,141,211,32,2
0,3,1,11,0,0,216,18,47,0
0,2,1,24,0,0,137,0,47,2
0,2,1,23,0,0,228,13,47,2
0,2,1,23,0,0,119,13,47,2
0,3,1,28,0,0,495,16,47,2
0,3,0,48,1,3,676,34,47,2
1,1,1,35,0,0,608,512,15,0
0,3,1,24,0,0,349,7,47,2
0,3,1,24,0,0,364,7,47,2
1,1,1,24,0,0,82,30,105,2
0,1,1,36,1,0,91,78,67,2
1,1,0,21,2,2,602,262,35,0
0,3,1,24,1,0,477,16,47,2
1,3,1,31,0,0,662,7,47,2
0,1,1,70,1,1,680,71,20,2
0,3,1,16,1,1,551,20,47,2
1,2,0,30,0,0,165,13,47,2
0,1,1,19,1,0,35,53,100,2
0,3,1,31,0,0,287,7,47,1
1,2,0,4,1,1,234,23,47,2
1,3,1,6,0,1,486,12,118,2
0,3,1,33,0,0,312,9,47,2
0,3,1,23,0,0,351,7,47,2
1,2,0,48,1,2,106,65,47,2
1,2,1,0,1,1,166,14,47,2
0,3,1,28,0,0,404,7,47,2
0,2,1,18,0,0,238,11,47,2
0,3,1,34,0,0,424,8,47,2
1,1,0,33,0,0,0,86,40,2
0,3,1,24,0,0,420,14,47,2
0,3,1,41,0,0,646,7,47,2
1,3,1,20,0,0,191,7,47,0
1,1,0,36,1,2,33,120,47,2
0,3,1,16,0,0,327,7,47,2
1,1,0,51,1,0,71,77,92,2
0,1,1,24,0,0,18,39,47,0
0,3,0,30,0,0,436,7,47,1
0,3,1,24,1,0,469,24,47,1
0,3,1,32,0,0,511,8,47,2
0,3,1,24,0,0,313,9,47,2
0,3,1,48,0,0,407,7,47,2
0,2,0,57,0,0,619,10,136,2
0,3,1,24,0,0,201,7,47,0
1,2,0,54,1,3,236,23,47,2
0,3,1,18,0,0,330,7,47,2
0,3,1,24,0,0,481,7,143,1
1,3,0,5,0,0,432,12,47,2
0,3,1,24,0,0,450,7,47,1
1,1,0,43,0,1,141,211,22,2
1,3,0,13,0,0,208,7,47,0
1,1,0,17,1,0,89,57,19,2
0,1,1,29,0,0,26,30,112,2
0,3,1,24,1,2,675,23,47,2
0,3,1,25,0,0,643,7,47,2
0,3,1,25,0,0,474,7,47,2
1,3,0,18,0,0,243,7,47,2
0,3,1,8,4,1,480,29,47,1
1,3,1,1,1,2,548,20,47,2
0,1,1,46,0,0,592,79,44,0
0,3,1,24,0,0,66,7,47,1
0,2,1,16,0,0,139,26,47,2
0,3,0,24,8,2,568,69,47,2
0,1,1,24,0,0,597,30,47,0
0,3,1,25,0,0,350,7,47,2
0,2,1,39,0,0,223,13,47,2
1,1,0,49,0,0,87,25,94,2
1,3,0,31,0,0,383,8,47,2
0,3,1,30,0,0,206,7,47,0
0,3,0,30,1,1,307,24,47,2
0,2,1,34,0,0,164,13,47,2
1,2,0,31,1,1,556,26,47,2
1,1,1,11,1,2,33,120,47,2
1,3,1,0,0,1,174,8,47,0
1,3,1,27,0,0,338,6,47,2
0,3,1,31,0,0,320,7,47,2
0,1,1,39,0,0,12,0,11,2
0,3,0,18,0,0,336,7,47,2
0,2,1,39,0,0,154,13,47,2
1,1,0,33,1,0,51,53,137,2
0,3,1,26,0,0,339,7,47,2
0,3,1,39,0,0,519,24,47,2
0,2,1,35,0,0,222,10,47,2
0,3,0,6,4,2,333,31,47,2
0,3,1,30,0,0,427,8,47,2
0,1,1,24,0,0,15,0,16,2
0,3,0,23,0,0,671,7,47,2
0,2,1,31,1,1,618,37,47,0
0,3,1,43,0,0,543,6,47,2
0,3,1,10,3,2,337,27,47,2
1,1,0,52,1,1,67,93,37,2
1,3,1,27,0,0,269,8,47,2
0,1,1,38,0,0,97,0,47,2
1,3,0,27,0,1,486,12,118,2
0,3,1,2,4,1,249,39,47,2
0,3,1,24,0,0,448,6,47,1
0,3,1,24,0,0,80,56,47,2
1,2,1,1,0,2,618,37,47,0
1,3,1,24,0,0,442,7,47,1
1,1,0,62,0,0,32,80,21,2
1,3,0,15,1,0,188,14,47,0
1,2,1,0,1,1,237,18,47,2
0,3,1,24,0,0,199,7,47,0
0,3,1,23,0,0,342,7,47,2
0,3,1,18,0,0,107,8,47,2
1,1,0,39,1,1,609,83,130,0
0,3,1,21,0,0,268,8,47,2
0,3,1,24,0,0,485,8,47,2
1,3,1,32,0,0,80,56,47,2
1,1,1,24,0,0,62,29,68,0
0,3,1,20,0,0,647,7,47,2
0,2,1,16,0,0,619,10,47,2
1,1,0,30,0,0,47,31,47,0
0,3,1,34,0,0,205,6,47,0
0,3,1,17,0,0,264,8,47,2
0,3,1,42,0,0,563,7,47,2
0,3,1,24,8,2,568,69,47,2
0,3,1,35,0,0,359,7,47,0
0,2,1,28,0,1,155,33,47,2
1,1,0,24,1,0,84,89,86,0
0,3,1,4,4,2,333,31,47,2
0,3,1,74,0,0,317,7,47,2
0,3,0,9,1,1,203,15,47,0
1,1,0,16,0,1,591,39,99,2
0,2,0,44,1,0,144,26,47,2
1,3,0,18,0,1,484,9,47,2
1,1,0,45,1,1,453,164,47,2
1,1,1,51,0,0,23,26,119,2
1,3,0,24,0,3,194,19,47,0
0,3,1,24,0,0,178,7,47,0
0,3,1,41,2,0,399,14,47,2
0,2,1,21,1,0,221,11,47,2
1,1,0,48,0,0,88,25,94,2
0,3,0,24,8,2,568,69,47,2
0,2,1,24,0,0,120,13,47,2
1,2,0,42,0,0,126,13,47,2
1,2,0,27,1,0,632,13,47,0
0,1,1,31,0,0,590,50,6,2
0,3,1,24,0,0,309,9,47,2
1,3,1,4,1,1,344,11,47,2
0,3,1,26,0,0,387,7,47,2
1,1,0,47,1,1,54,52,102,2
0,1,1,33,0,0,502,5,34,2
0,3,1,47,0,0,303,9,47,2
1,2,0,28,1,0,575,24,47,0
1,3,0,15,0,0,195,7,47,0
0,3,1,20,0,0,504,9,47,2
0,3,1,19,0,0,358,7,47,2
0,3,1,24,0,0,363,7,47,2
1,1,0,56,0,1,59,83,70,0
1,2,0,25,0,1,115,26,47,2
0,3,1,33,0,0,394,7,47,2
0,3,0,22,0,0,508,10,47,2
0,2,1,28,0,0,565,10,47,2
0,3,1,25,0,0,650,7,47,2
0,3,0,39,0,5,480,29,47,1
0,2,1,27,0,0,101,13,47,2
1,1,0,19,0,0,14,30,30,2
0,3,0,24,1,2,675,23,47,2
1,1,1,26,0,0,8,30,60,0
0,3,1,32,0,0,466,7,47,1
